1024,256,3072
512,256,1792
1024,192,3072
256,48,3200
512,416,3072
512,264,1920
1024,256,768
256,288,2496
256,48,3328
256,288,2080
1024,16,2176
256,32,2176
1024,16,2072
512,288,2240
256,256,292
128,288,2176
128,288,2560
1024,48,768
1024,288,544
512,256,928
1024,272,3072
1024,272,3072
256,288,3200
256,260,3200
256,288,416
256,32,386
256,32,849
256,32,2276
1024,256,3072
1024,48,3072
128,288,3072
1024,272,2688
256,32,2048
1024,288,1920
512,256,3072
256,4,2564
256,4,2080
512,36,2048
256,32,1028
1024,48,2592
128,264,800
128,256,0
512,264,2080
256,292,2112
256,256,3329
256,256,3329
256,32,2664
1024,384,1408
1024,16,800
1024,48,768
256,176,544
256,16,256
256,48,2176
256,256,2304
256,48,2060
256,32,2320
256,384,3072
512,288,768
256,32,2800
1024,16,800
1024,16,2304
256,32,385
512,20,2336
1024,272,2564
256,288,260
512,256,549
1024,48,260
1024,272,388
256,288,2304
256,288,2304
1024,48,2560
256,32,0
1024,384,2592
1024,16,800
512,48,256
512,256,768
64,272,1664
512,264,1028
256,32,2048
1024,16,800
512,320,1536
256,160,2560
256,256,416
512,264,3120
512,256,928
256,272,864
256,48,2320
512,256,3328
256,264,161
256,288,1312
1024,16,1536
1024,48,2560
256,256,1056
256,32,2176
256,256,3328
32,272,288
256,264,1028
512,320,2336
512,288,3072
512,272,3584
512,32,2084
512,256,2056
512,448,1092
256,264,288
1024,48,1028
512,16,2048
512,48,2560
16,16,3584
1024,288,3072
1024,256,3072
512,320,1152
128,272,800
1024,352,3200
1024,288,1920
256,32,0
1024,48,2560
1024,48,1536
64,272,3712
1024,16,768
512,96,2176
1024,16,609
128,256,513
16,16,1952
128,256,2056
256,4,2048
512,288,3072
512,256,2048
512,20,2336
256,4,3072
1024,16,1568
1024,48,2848
512,256,2048
512,256,1792
128,48,0
1024,260,1088
512,320,3264
256,4,3088
1024,288,3072
1024,256,672
256,32,260
128,56,0
1024,16,2080
256,48,2064
512,264,1792
1024,256,768
256,384,3072
1024,384,3076
512,320,1664
1024,256,1344
256,32,2048
256,256,256
128,32,2560
1024,16,800
512,260,3072
256,32,2048
256,224,2112
1024,288,2080
256,292,1312
256,32,32
512,256,1280
1024,68,3072
1024,288,3072
256,256,432
1024,272,544
1024,48,772
32,48,260
512,16,385
1024,48,256
1024,128,2560
1024,48,2688
256,48,2432
256,32,160
256,32,129
256,48,2176
256,32,548
1024,16,768
256,288,1280
256,260,3092
1024,48,2688
512,192,1344
16,48,3616
256,32,2080
1024,16,1408
1024,16,352
1024,48,1028
1024,48,1024
1024,16,2560
1024,16,928
1024,48,3072
256,48,2848
1024,48,2048
256,32,0
256,96,2080
256,32,386
512,32,2112
128,288,1408
256,48,2064
256,32,160
256,256,388
1024,16,768
256,256,288
512,16,800
256,32,2112
1024,256,544
256,256,69
1024,260,3328
512,384,129
1024,48,864
256,288,1280
256,32,1792
256,256,2080
268,34,2368
512,256,2336
1024,16,2080
256,36,96
1024,80,2304
256,96,2816
256,192,1344
1024,48,2560
512,32,2048
256,48,3584
266,256,2432
1024,16,608
268,48,1540
1024,16,1568
512,256,1536
256,4,2176
256,1,3200
131,0,2176
512,384,2192
1024,48,1408
1024,4,3072
514,256,1664
256,32,133
1024,32,320
1024,16,256
512,272,800
256,32,256
256,16,256
256,288,2080
256,160,2560
256,48,1028
256,264,416
256,264,292
1024,16,800
1024,16,544
256,32,2464
256,48,2560
1024,16,1572
1024,48,2816
1024,352,3200
512,256,3456
256,36,3104
1024,16,2304
256,256,384
1024,16,800
256,4,0
256,264,292
1024,32,0
1024,288,3328
256,48,3072
256,32,288
128,16,2304
128,48,288
256,48,288
512,48,2560
256,288,352
1024,16,2048
512,192,2880
256,176,544
1024,48,96
1024,48,2688
256,32,288
1024,16,800
256,32,1344
256,32,1344
512,304,577
256,32,1856
512,48,2096
1024,16,1796
256,4,2176
512,256,608
512,256,544
1024,4,3584
256,288,288
128,256,164
256,288,288
1024,48,3072
512,304,2562
16,16,1568
256,256,288
256,256,288
1024,256,768
512,32,2080
512,256,2176
512,288,2176
256,96,2080
256,32,4
512,352,1280
1024,288,2560
256,384,3200
256,256,320
256,33,3104
256,32,0
1024,48,3584
256,4,2048
1024,256,3072
1024,256,3136
256,48,2608
256,288,1280
256,256,0
1024,272,2304
1024,260,3072
128,260,3200
512,256,1536
128,80,256
512,288,384
256,32,384
1024,16,3616
1024,176,2848
256,48,0
1024,192,0
16,48,0
128,288,2560
256,288,2336
512,32,2592
512,272,544
256,256,288
256,32,96
512,260,2688
256,264,385
256,32,2048
128,272,2560
16,16,544
256,32,0
256,256,0
1024,68,1536
1024,16,800
16,16,3104
1024,32,2560
128,320,0
256,48,256
1024,48,256
1024,288,256
1024,48,256
256,288,384
256,260,2176
256,32,2304
256,288,288
128,288,0
128,288,2048
256,52,2308
512,264,640
1024,256,640
256,48,2084
128,264,2564
512,256,2432
1024,176,2816
128,32,3072
1024,48,1664
1024,48,2688
512,48,2688
256,32,1152
512,16,2176
512,32,2080
512,256,3072
1024,48,2096
512,256,1216
512,32,0
128,260,0
1024,400,3584
1024,256,800
512,224,320
1024,256,544
1024,272,3616
